experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,notes
EJ01A1,TC1,False,79.383333,-10.0,81.916667,-8.2,81.916667,-8.2,
EJ01A1,TC2,False,95.733333,-11.7,98.733333,-9.5,128.016667,-11.2,
EJ01A1,TC3,False,132.866667,-14.5,134.75,-11.6,154.116667,-12.1,
EJ01A1,TC4,False,81.083333,-10.5,83.45,-9.1,118.216667,-10.8,
EJ01A1,TC5,False,146.766667,-16.0,149.933333,-12.4,166.916667,-12.7,
EJ01A1,TC6,False,115.95,-12.2,118.566667,-9.8,139.3,-11.6,
EJ01A1,TC7,False,76.166667,-9.3,78.583333,-7.5,107.1,-9.1,
EJ01A1,TC8,False,124.783333,-14.3,127.383333,-11.3,146.8,-12.4,
EJ01A1,TC9,False,80.033333,-7.2,101.766667,-7.7,105.166667,-8.5,
EJ01A1,TC10,False,65.65,-6.2,67.933333,-4.5,105.733333,-7.3,
EJ01A1,TC11,False,68.033333,-7.0,69.9,-6.6,113.7,-9.8,
EJ01A1,TC12,False,66.7,-6.8,68.633333,-6.5,111.883333,-9.4,
EJ01A1,TC13,False,71.5,-7.8,98.366667,-7.2,107.233333,-7.6,
EJ01A1,TC14,False,80.966667,-9.7,83.183333,-8.1,118.416667,-9.6,
EJ01A1,TC15,False,70.466667,-7.1,71.583333,-4.8,105.483333,-7.0,
EJ01A1,TC16,False,66.6,-6.8,67.816667,-5.6,101.4,-8.7,
EJ01A2,TC1,False,78.9,-10.2,82.15,-8.2,112.216667,-10.0,
EJ01A2,TC2,False,122.316667,-14.1,124.9,-11.1,147.183333,-12.0,
EJ01A2,TC3,False,121.4,-13.5,124.816667,-10.9,146.266667,-11.9,
EJ01A2,TC4,False,80.233333,-10.5,83.733333,-9.2,117.383333,-11.1,
EJ01A2,TC5,False,146.016667,-15.8,148.45,-12.2,166.216667,-12.4,
EJ01A2,TC6,False,115.55,-12.3,118.716667,-10.0,140.183333,-11.8,
EJ01A2,TC7,False,90.333333,-11.4,93.35,-8.7,118.216667,-10.2,
EJ01A2,TC8,False,125.316667,-14.6,127.9,-11.6,147.85,-12.3,
EJ01A2,TC9,False,65.45,-6.7,67.133333,-5.9,101.45,-7.9,
EJ01A2,TC10,False,63.95,-6.1,65.966667,-4.7,101.95,-7.0,
EJ01A2,TC11,False,66.633333,-7.1,68.8,-6.9,115.133333,-11.1,
EJ01A2,TC12,False,80.65,-8.5,90.25,-7.1,111.383333,-9.6,
EJ01A2,TC13,False,70.133333,-7.9,72.383333,-6.9,116.633333,-9.1,
EJ01A2,TC14,False,79.816667,-9.8,82.983333,-8.1,118.466667,-9.7,
EJ01A2,TC15,False,68.383333,-6.9,71.3,-4.5,104.45,-7.0,
EJ01A2,TC16,False,66.966667,-7.4,69.05,-5.8,108.2,-9.8,
